policy_id,event_date,jurisdiction,policy_name,key_change,impact_on_cables,affected_regions,source_url
1,1884-03-14,International,Paris Convention for the Protection of Submarine Cables,First international treaty criminalizing cable damage,Still the global baseline for damage liability and repair rights,Global,https://www.iscpc.org
2,1982-12-10,International,UNCLOS (entered into force 1994),Articles 113–115 – penalize willful or negligent damage on high seas,Legal foundation for all cable protection worldwide,Global,https://www.un.org/depts/los/convention_agreements/texts/unclos/unclos_e.pdf
3,2007-07-01,Australia,Southern Sydney Protection Zone Declaration,First Australian cable protection zone (fines up to AUD 1.1M),No-anchor zones + mandatory permits for new cables,Australia; Oceania,https://www.acma.gov.au
4,2007-10-01,Australia,Northern Sydney & Perth Protection Zones,Two additional zones declared,Protection + streamlined repair permits,Australia; Oceania,https://www.acma.gov.au
5,2022-11-28,EU,NIS2 Directive (2022/2555) adopted,Cybersecurity obligations extended to digital infrastructure,Subsea cables become critical entities (incident reporting required),Europe; Global,https://eur-lex.europa.eu/eli/dir/2022/2555/oj
6,2023-01-16,EU,NIS2 enters into force,18-month transposition clock starts,Member states begin preparing national laws,All regions with EU landings,https://eur-lex.europa.eu/eli/dir/2022/2555/oj
7,2024-10-17,EU,NIS2 transposition deadline,All member states must have implemented NIS2,Enforcement begins; subsea operators must comply or face fines,Europe,https://eur-lex.europa.eu/eli/dir/2022/2555/oj
8,2025-02-21,EU,EU Action Plan on Cable Security,Coordinated resilience plan + surveillance recommendations,Funding for cable hubs + risk assessments required,Europe; Global,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex:52025JC0009
9,2025-02-26,EU,Commission Recommendation on Secure and Resilient Submarine Cable Infrastructures,First EU-wide recommendation on cable security,Operators must implement risk management and resilience measures,Europe; Global,https://eur-lex.europa.eu/eli/reco/2024/779/oj
10,2025-05-01,Australia,Proposed variation Southern Sydney Protection Zone,Zone extended south for Google Tabua cable,Additional protected area + permit process,Australia; Oceania,https://www.acma.gov.au/sites/default/files/2025-05/Summary%20of%20Proposal%20to%20vary%20the%20Submarine%20Cable%20%28Southern%20Sydney%20Protection%20Zone%29%20Declaration%202007.pdf
11,2025-07-17,US,FCC Report & Order FCC 25-49 (Submarine Cable Landing License Rules),Modernization + foreign adversary presumption of denial adopted,Chinese/Russian ownership/equipment banned on US-landing cables; SLTE rules; 25-year licenses preserved,U.S. & Canada; Global,https://docs.fcc.gov/public/attachments/DOC-413057A1.pdf
12,2025-08-07,US,FCC adopts Submarine Cable Order,Streamlined licensing + national security measures,Applications with foreign adversary links face denial,U.S. & Canada,https://www.fcc.gov/document/fcc-acts-accelerate-submarine-cable-buildout-security-0
13,2025-08-13,US,FCC releases FCC 25-49 (final),Full order released,Operators must prepare for new rules,U.S. & Canada,https://www.fcc.gov/document/fcc-acts-accelerate-submarine-cable-buildout-security-0
14,2025-10-27,US,FCC rules published in Federal Register,Official publication date,Public notice of effective dates,U.S. & Canada,https://www.federalregister.gov/documents/2025/10/27/2025-19658/review-of-submarine-cable-landing-license-rules-and-procedures-to-assess-evolving-national-security
15,2025-11-26,US,FCC 2025 Submarine Cable Rules effective date,Most provisions now enforceable,No new Chinese components; SLTE licensing mandatory,U.S. & Canada; Global cables touching US,https://www.federalregister.gov
16,2025-10-28,US,FCC announces effective date of certain rules (DA 25-934),Partial rules effective immediately,Streamlined process begins,U.S. & Canada,https://docs.fcc.gov/public/attachments/DA-25-934A1.pdf
17,2025-10-28,Australia,Southern Sydney Protection Zone Variation 2025 (No.1) approved,Official extension for Tabua cable,New cables automatically protected,Australia; Oceania,https://www.legislation.gov.au/F2025L01279/latest/text
18,2025-02-16,Brazil,Anatel 2025-2026 Regulatory Agenda – Submarine Cable Overhaul announced,Public consultation scheduled first half 2026,Complete rewrite of Brazilian submarine cable rules,Latin America,https://www.subseacables.net/industry-news/submarine-cable-rules-set-for-overhaul-in-brazils-2025-2026-regulatory-agenda/
19,2026-01-08,US,Foreign Adversary Control Report & Order (GN 25-166),Attestations and disclosures required for foreign adversary control,Annual reporting for all FCC licensees including submarine cables,U.S. & Canada; Global,https://docs.fcc.gov/public/attachments/DOC-417578A1.pdf
20,2026-01-20,EU,Proposed NIS2 amendments – SDTI inclusion,Submarine Data Transmission Infrastructure explicitly added to NIS2,All subsea operators/landing stations now clearly in scope,Europe; Global,https://www.technologyslegaledge.com/2026/02/nis2s-extended-scope-takes-a-deep-dive-unpacking-the-eu-commissions-proposed-expansion-to-submarine-data-transmission-infrastructure/
21,2026-02-05,EU,Submarine Cable Security Toolbox + Cable Projects of European Interest published,€347 million CEF Digital funding allocated + toolbox released,Funding for repair capacities, hubs, and priority projects,Europe; Global,https://digital-strategy.ec.europa.eu/en/library/submarine-cable-security-toolbox-and-cable-projects-european-interest
22,2026-02-05,EU,CEF Digital Work Programme amended (€347M for cables),Two €60M calls for cable repair modules + €20M for SMART cables,Strategic funding for resilience,Europe; Global,https://digital-strategy.ec.europa.eu/en/news/commission-increases-submarine-cable-security-eu347-million-investment-and-new-toolbox
23,2026-02-10,EU,International Submarine Cable Resilience Summit (Porto),Second summit + Summit Declaration expected,Global cooperation on permits, diversity, and information-sharing,Global,https://www.itu.int/hub/2026/02/the-world-is-coming-together-to-strengthen-submarine-cable-resilience/
24,2026-03-06,Germany,NIS2 German law registration deadline,All critical entities (including subsea) must register,Active enforcement phase begins,Europe,https://www.reedsmith.com
